Number,Wheel1,Wheel2
100,2127,1288
1,2082,1234
13,2110,1261
36,2221,1251
24,2192,1164
3,2008,1438
15,2035,1264
34,2113,1335
22,2099,1342
5,2199,1232
17,2044,1326
32,2133,1302
20,1912,1227
7,1999,1192
11,1974,1278
30,2051,1336
26,1984,1296
9,2053,1298
28,2019,1205
0,2046,1189
2,1999,1171
14,2168,1279
35,2150,1315
23,2041,1296
4,2047,1256
16,2091,1304
33,2142,1304
21,2196,1351
6,2153,1281
18,2191,1392
31,2192,1306
19,2284,1330
8,2136,1266
12,2110,1224
29,2032,1190
25,2188,1229
10,2121,1320
27,2158,1336